indentation,full_fem,low_modes,patch_residual_ilc
0.0015,0.18553119096938112,0.7740533187042382,0.18553119096938112
0.00224,0.2770599118476091,1.155919622598329,0.2770599118476091
0.00298,0.36858863272583714,1.5377859264924199,0.36858863272583714
0.0037199999999999998,0.4601173536040651,1.9196522303865107,0.4601173536040651
0.00446,0.5516460744822932,2.3015185342806017,0.5516460744822932
0.0052,0.6431747953605211,2.683384838174692,0.6431747953605211
0.005939999999999999,0.7347035162387491,3.065251142068783,0.7347035162387491
0.00668,0.8262322371169772,3.447117445962874,0.8262322371169772
0.0074199999999999995,0.9177609579952051,3.8289837498569645,0.9177609579952051
0.00816,1.0092896788734333,4.210850053751056,1.0092896788734333
0.0089,1.1008183997516612,4.592716357645147,1.1008183997516612
0.00964,1.192347120629889,4.9745826615392374,1.192347120629889
0.010379999999999999,1.283875841508117,5.356448965433327,1.283875841508117
0.01112,1.3754045623863451,5.738315269327419,1.3754045623863451
0.011859999999999999,1.4669332832645732,6.120181573221509,1.4669332832645732
0.0126,1.5584620041428012,6.502047877115601,1.5584620041428012
0.01334,1.6499907250210293,6.8839141810096915,1.6499907250210293
0.014079999999999999,1.7415194458992571,7.2657804849037815,1.7415194458992571
0.01482,1.8330481667774852,7.647646788797873,1.8330481667774852
0.01556,1.9245768876557132,8.029513092691964,1.9245768876557132
0.016300000000000002,2.0161056085339415,8.411379396586057,2.0161056085339415
0.01704,2.107634329412169,8.793245700480146,2.107634329412169
0.01778,2.1991630502903976,9.175112004374236,2.1991630502903976
0.018520000000000002,2.2906917711686257,9.556978308268329,2.2906917711686257
0.01926,2.3822204920468533,9.938844612162418,2.3822204920468533
0.02,2.4737492129250813,10.320710916056509,2.4737492129250813
