query_point_count,scalar_seconds,batched_seconds
4,0.014242199998989236,0.0005424000009952579
8,0.028256099998543505,0.0006494000008387957
12,0.04289499999867985,0.0008441000027232803
16,0.05738249999922118,0.0010982999992847908
20,0.07143899999937275,0.0012483999998949002
24,0.08598050000000512,0.0014731999981449917
28,0.09943850000126986,0.0016138999999384396
32,0.11232749999908265,0.001792900002328679
36,0.12975590000132797,0.002071599999908358
40,0.14142749999882653,0.003021299999090843
44,0.15192860000024666,0.003317300001071999
48,0.17081619999953546,0.003518199999234639
