step,active_patch_count,sample_count,minimum_gap,projected_normal_force,projection_error,estimated_runtime_ratio
0,30,14,-0.008057094490612648,0.19056404374423047,0.20120664591844256,0.2112676056338028
1,32,15,-0.008076222972452918,0.19380305869353687,0.19943826763325495,0.22535211267605634
2,32,15,-0.008062432671591235,0.19677103171168164,0.20459753648512352,0.22535211267605634
3,32,15,-0.008015723588027157,0.1996161454125303,0.21092460315027506,0.22535211267605634
4,32,16,-0.007974569098184059,0.20367144217451616,0.21890459452108307,0.22535211267605634
5,32,15,-0.008039961815173857,0.20689903534020226,0.2280468960941431,0.22535211267605634
6,32,16,-0.00807243574946126,0.21017284164358138,0.2335271918273972,0.22535211267605634
7,32,16,-0.008071990901046266,0.2123748412973192,0.23933234958321867,0.22535211267605634
8,32,16,-0.008053054786087976,0.21293090181594282,0.24578913683037437,0.22535211267605634
9,32,17,-0.008075742055247748,0.2126110543027651,0.25296730643753945,0.22535211267605634
10,32,17,-0.008065510541705123,0.21206750514581318,0.2614829656967728,0.22535211267605634
11,32,17,-0.008022360245460103,0.2109248383517032,0.26838654544375334,0.22535211267605634
12,32,18,-0.007965527854724375,0.21081847299168757,0.2762751431725078,0.22535211267605634
13,32,16,-0.008034479359033675,0.21113046802862384,0.2817523159983877,0.22535211267605634
14,32,17,-0.008070512080640135,0.212333211901744,0.28203952920515246,0.22535211267605634
15,32,17,-0.008073626019544644,0.21249863990603218,0.28456339147635273,0.22535211267605634
16,32,16,-0.008048630347799346,0.21295013850415462,0.28203753582463825,0.22535211267605634
17,32,17,-0.008074876404278175,0.2125650665950149,0.28133125590174296,0.22535211267605634
18,32,17,-0.008068203678054608,0.2122105780143893,0.2830967423941757,0.22535211267605634
19,32,17,-0.00802861216912909,0.2109864558686378,0.2853024282262373,0.22535211267605634
20,32,18,-0.007956101877500732,0.21082929362880867,0.28741522763848887,0.22535211267605634
21,32,17,-0.00802861216912909,0.2109864558686378,0.29018711905006317,0.22535211267605634
22,32,17,-0.008068203678054608,0.2122105780143893,0.2876151990595462,0.22535211267605634
23,32,17,-0.008074876404278175,0.2125650665950149,0.2878052344464198,0.22535211267605634
24,32,16,-0.008048630347799346,0.21295013850415462,0.2844719997522684,0.22535211267605634
25,32,17,-0.008073626019544644,0.21249863990603218,0.2816557227304631,0.22535211267605634
26,32,17,-0.008070512080640135,0.21233321190174403,0.2827323345739839,0.22535211267605634
27,32,16,-0.008034479359033675,0.21113046802862384,0.28500189532720893,0.22535211267605634
28,32,18,-0.007965527854724375,0.2108184729916876,0.28623026630760734,0.22535211267605634
29,32,17,-0.008022360245460103,0.21092483835170314,0.28949960391110263,0.22535211267605634
30,32,17,-0.008065510541705123,0.21206750514581318,0.2871364276637456,0.22535211267605634
31,32,17,-0.008075742055247748,0.2126110543027651,0.28703310803086735,0.22535211267605634
32,32,16,-0.008053054786087976,0.2129309018159428,0.2843669560763491,0.22535211267605634
33,32,16,-0.008071990901046266,0.2123748412973192,0.2813912413793327,0.22535211267605634
34,32,16,-0.00807243574946126,0.21017284164358135,0.28323527898187234,0.22535211267605634
35,32,15,-0.008039961815173857,0.20689903534020226,0.28599722835657887,0.22535211267605634
36,32,16,-0.007974569098184059,0.20367144217451616,0.2873059080954503,0.22535211267605634
37,32,15,-0.008015723588027157,0.19961614541253034,0.2916479649245134,0.22535211267605634
38,32,15,-0.008062432671591235,0.19677103171168164,0.2896822496122781,0.22535211267605634
39,32,15,-0.008076222972452918,0.19380305869353687,0.2892557888696103,0.22535211267605634
40,32,14,-0.008057094490612648,0.19056404374423047,0.28760028613713534,0.22535211267605634
